class DbSchemaVersion
_point_order, IntegerField, 
x, FloatField, The x value of the point.
y, FloatField, The y value of the point.

class ControlMasterPlan
name, CharField, 
_include_detection, BooleanField, Indicates if detection of disease in any production type will be modeled.
_include_tracing, BooleanField, Indicates if tracing of units in any production type will be modeled.
_include_tracing_unit_exam, BooleanField, Indicates if tracing using diagnostic testing in any production type will be modeled.
_include_tracing_testing, BooleanField, Indicates if tracing using unit examination in any production type will be modeled.
_include_destruction, BooleanField, Indicates if destruction of units in any production type will be modeled.
_include_vaccination, BooleanField, Indicates if vaccination of units in any production type will be modeled.
_include_zones, BooleanField, Indicates if zones will be modeled.
destruction_program_delay, IntegerField, The number of days that must pass after the first detection before a destruction program can begin.
destruction_capacity_relid, ForeignKey, The relational function used to define the daily destruction capacity.
destruction_priority_order, CharField, The primary priority order for destructio
destrucion_reason_order, CharField, The secondary priority order for destruction.
units_detected_before_triggering_vaccincation, IntegerField, The number of clinical units which must be detected before the initiation of a vaccination program.
vaccination_capacity_relid, ForeignKey, Relational fucntion used to define the daily vaccination capacity.
vaccination_priority_order, CharField, A string that identifies the primary priority order for vaccinatio

class ControlProtocol
name, CharField, Name your Protocol so you can recognize it later. Ex:"Quarantine
use_detection, BooleanField, Indicates if disease detection will be modeled for units of this production type.
detection_probability_for_observed_time_in_clinical_relid, ForeignKey, Relational function used to define the probability of observing clinical signs in units of this production type.
detection_probability_report_vs_first_detection_relid, ForeignKey, Relational function used to define the probability of reportin clinical signs in units of this production typ
detection_is_a_zone_trigger, BooleanField, Indicator if detection of infected units of this production type will trigger a zone focus.
use_tracing, BooleanField, 
trace_direct_forward, BooleanField, Indicator that trace forward will be conducted for direct contacts where the reported unit was the source of contact and was of this production type.
trace_direct_back, BooleanField, Indicator that trace back will be conducted for direct contacts where the reported unit was the source of contact and was of this production type.
direct_trace_success_rate, = PercentField, Probability of success of trace for direct contact.
direct_trace_period, IntegerField, Days before detection (critical period) for tracing of direct contacts.
trace_indirect_forward, BooleanField, Indicator that trace forward will be conducted for indirect contacts where the reported unit was the source of contact and was of this production type.
trace_indirect_back, BooleanField, Indicator that trace back will be conducted for indirect contacts where the reported unit was the source of contact and was of this production type.
indirect_trace_success, = PercentField, Probability of success of trace for indirect contact.
indirect_trace_period, IntegerField, Days before detection  (critical period) for tracing of indirect contacts.
trace_result_delay_pdf, ForeignKey, Delay for carrying out trace investigation result (days).
direct_trace_is_a_zone_trigger, BooleanField, Indicator if direct tracing of infected units of this production type will trigger a zone focus.
indirect_trace_is_a_zone_trigger, BooleanField, Indicator if indirect tracing of infected units of this production type will trigger a zone focus.
use_destruction, BooleanField, Indicates if detected clinical units of this production type will be destroyed.
destruction_is_a_ring_trigger, BooleanField, Indicates if detection of a unit of this production type will trigger the formation of a destruction ring.
destruction_ring_radius, FloatField, Radius in kilometers of the destruction ring.
destruction_is_a_ring_target, BooleanField, Indicates if unit of this production type will be subject to preemptive ring destruction.
destroy_direct_forward_traces, BooleanField, Indicates if units of this type identified by trace forward of indirect contacts will be subject to preemptive desctruction.
destroy_indirect_forward_traces, BooleanField, Indicates if units of this type identified by trace forward of direct contacts will be subject to preemptive desctruction.
destroy_direct_back_traces, BooleanField, Indicates if units of this type identified by trace back of direct contacts will be subject to preemptive desctruction.
destroy_indirect_back_traces, BooleanField, Indicates if units of this type identified by trace back of indirect contacts will be subject to preemptive desctruction.
destruction_priority, IntegerField, The desctruction priority of this production type relative to other production types.  A lower number indicates a higher priority.
use_vaccination, BooleanField, Indicates if units of this production type will be subject to vaccination.
vaccinate_detected_units, BooleanField, Indicates if units of this production type will be subject to vaccination if infected and detected.
days_to_immunity, IntegerField, The number of days required for the onset of vaccine immunity in a newly vaccinated unit of this type.
minimum_time_between_vaccinations, IntegerField, The minimum time in days between vaccination for units of this production type.
vaccine_immune_period_pdf, ForeignKey, Defines the vaccine immune period for units of this production type.
trigger_vaccination_ring, BooleanField, Indicates if detection of a clinical unit of this type will trigger a vaccination ring.
vaccination_ring_radius, FloatField, Radius in kilometers of the vaccination ring.
vaccination_priority, IntegerField, The vacination priority of this production type relative to other production types.  A lower number indicates a higher priority.
vaccination_demand_threshold, IntegerField, The number of animals of this type that can be vaccinated before the cost of vaccination increases.
cost_of_vaccination_additional_per_animal, = MoneyField, The additional cost of vaccination for each vaccinated animal of this type after the threshold is exceeded.
use_testing, BooleanField, 
examine_direct_forward_traces, BooleanField, Indicator if units identified by the trace-forward of direct contact will be examined for clinical signs of disease.
exam_direct_forward_success_multiplier, FloatField, Multiplier for the probability of observing clinical signs in units identified by the trace-forward of direct contact.
examine_indirect_forward_traces, BooleanField, Indicator if units identified by the trace-forward of indirect contact will be examined for clinical signs of disease.
exam_indirect_forward_success_multiplier, FloatField, Multiplier for the probability of observice clinical signs in units identified by the trace-forward of indirect contact .
examine_direct_back_traces, BooleanField, Indicator if units identified by the trace-back of direct contact will be examined for clinical signs of disease.
exam_direct_back_success_multiplier, FloatField, Multiplier for the probability of observice clinical signs in units identified by the trace-back of direct contact.
examine_indirect_back_traces, BooleanField, Indicator if units identified by the trace-back of indirect contact will be examined for clinical signs of disease.
examine_indirect_back_success_multiplier, FloatField, Multiplier for the probability of observice clinical signs in units identified by the trace-back of indirect contact.
test_direct_forward_traces, BooleanField, Indicator that diagnostic testing shuold be performed on units identified by trace-forward of direct contacts.
test_indirect_forward_traces, BooleanField, Indicator that diagnostic testing shuold be performed on units identified by trace-forward of indirect contacts.
test_direct_back_traces, BooleanField, Indicator that diagnostic testing should be performed on units identified by trace-back of direct contacts.
test_indirect_back_traces, BooleanField, Indicator that diagnostic testing should be performed on units identified by trace-back of indirect contacts.
test_specificity, FloatField, Test Specificity for units of this production type
test_sensitivity, FloatField, Test Sensitivity for units of this production type
test_delay_pdf, ForeignKey, Function that describes the delay in obtaining test results.
vaccinate_retrospective_days, IntegerField, Number of days in retrospect that should be used to determine which herds to vaccinate.
use_cost_accounting, BooleanField, 
cost_of_destruction_appraisal_per_unit, = MoneyField, The cost associated with appraisal for each destroyed unit of this type.
cost_of_destruction_cleaning_per_unit, = MoneyField, The cost associated with cleaning and disinfection for each destroyed unit of this type.
cost_of_euthanasia_per_animal, = MoneyField, The cost associated with euthanizing each destroyed animal of this type.
cost_of_indemnification_per_animal, = MoneyField, The cost of indemnification for each destroyed animal of this type.
cost_of_carcass_disposal_per_animal, = MoneyField, The cost of carcass disposal for each destroyed animal of this type.
cost_of_vaccination_setup_per_unit, = MoneyField, The cost of site setup for each vaccinated unit of this type.
cost_of_vaccination_baseline_per_animal, = MoneyField, The baseline cost of vaccination for each vaccinated animal of this type. This cost applies to all vaccinations before the threshold is met. 

class ProtocolAssignment
_master_plan, ForeignKey, Points back to a master plan for grouping purpose
production_type, ForeignKey, The production type that these outputs apply to.
control_protocol, ForeignKey, The control protocol to apply to this production typ
notes, CharField, Why should this protocol be assigned to this production typ

class Disease
name, CharField, Name of the Disea
disease_description, TextField, 

class DiseaseReaction
name, CharField, Examples: Severe Reaction, FMD Long Incubati
_disease, ForeignKey, 
disease_latent_period_pdf, ForeignKey, Defines the latent period for units of this production type.
disease_subclinical_period_pdf, ForeignKey, Defines the subclinical period for units of this production type.
disease_clinical_period_pdf, ForeignKey, Defines the clinical period for units of this production type.
disease_immune_period_pdf, ForeignKey, Defines the natural immune period for units of this production type.
disease_prevalence_relid, ForeignKey, Defines the prevelance for units of this production type.

class DiseaseReactionAssignment
production_type, ForeignKey, The production type that these outputs apply to.
reaction, ForeignKey, 

class DiseaseSpreadModel
name, CharField, 
_disease, ForeignKey, Parent disease whose spreading characteristics this describe
transport_delay_pdf, ForeignKey, Relational function used to define the shipment delays for the indicated production type.

class AbstractSpreadModel(DiseaseSpreadModel):  # lots of fields between Direct and Indirect that were not in Airborne

_spread_method_code, CharField, Code indicating the mechanism of the disease spread.
subclinical_animals_can_infect_others, BooleanField, Indicates if subclinical units of the source type can spread disease by direct or indirect contact. 
contact_rate, FloatField, The average contact rate (in recipient units per source unit per day) for direct or indirect contact models.
use_fixed_contact_rate, BooleanField, Use a fixed contact rate or model contact rate as a mean distribution.
infection_probability, = PercentField, The probability that a contact will result in disease transmission. Specified for direct and indirect contact models.
distance_pdf, ForeignKey, Defines the sipment distances for direct and indirect contact models.
movement_control_relid, ForeignKey, Relational function used to define movement control effects for the indicated production types combinations.

class IndirectSpreadModel(AbstractSpreadModel):


class DirectSpreadModel(AbstractSpreadModel):

latent_animals_can_infect_others, BooleanField, Indicates if latent units of the source type can spread disease by direct contact. Not applicable to airborne spread or indirect spread.

class AirborneSpreadModel(DiseaseSpreadModel):

_spread_method_code, CharField, Code indicating the mechanism of the disease spread.
spread_1km_probability, = PercentField, The probability that disease will be spread to unit 1 km away from the source unit.
max_distance, FloatField, The maximum distance in KM of airborne spread.
wind_direction_start, IntegerField, The start angle in degrees of the predominate wind direction for airborne spread.
wind_direction_end, IntegerField, The end angle in degrees of the predominate wind direction for airborne spread.

class Scenario
description, TextField, The description of the scenario.
language, CharField, Language that the model is in - English is default.
use_fixed_random_seed, BooleanField, Indicates if a specific seed value for the random number generator should be used.
random_seed, IntegerField, The specified seed value for the random number generator.
include_contact_spread, BooleanField, Indicates if disease spread by direct or indirect contact is used in the scenario.
include_airborne_spread, BooleanField, Indicates if airborne spread is used in the model
use_airborne_exponential_decay, BooleanField, Indicates if the decrease in probability by airborne transmission is simulated by the exponential (TRUE) or linear (FALSE) algorithm.
use_within_unit_prevalence, BooleanField, Indicates if within unit prevelance should be used in the model.
cost_track_destruction, BooleanField, Indicates if desctruction costs should be tracked in the model.
cost_track_vaccination, BooleanField, Indicates if vaccination costs should be tracked in the model.
cost_track_zone_surveillance, BooleanField, Indicates if zone surveillance costs should be tracked in the model.

class OutputSettings
_scenario, ForeignKey, 
iterations, IntegerField, The number of iterations of this scenario that should be run
days, IntegerField, The maximum number of days that iterations of this scenario should run even if the stop criterion is not met.
early_stop_criteria, CharField, The criterion used to end each iteration. This may be that the specified number of days has passed the first detectino has occurred or the outbreak has ende
save_all_daily_outputs, BooleanField, Indicates if daily outputs should be stored for every iteration.
maximum_iterations_for_daily_output, IntegerField, The number of iterations for which daily outputs should be stored The minimum value is 3.
daily_states_filename, CharField, The file name to output a plain text file with the state of each unit on each day of each iteration.
save_daily_events, BooleanField, Indicates if all events should be recorded in the scenario database.
save_daily_exposures, BooleanField, Indicates if all exposures should be recorded in the scenario database.
save_iteration_outputs_for_units, BooleanField, Indicates if iteration outputs for units should be recorded in the scenario database.
write_map_output, BooleanField, Indicates if map outputs for units should be recorded in the scenario database.
map_directory, CharField, File path of the desired location for the output file.

class CustomOutputs(OutputSettings):

all_units_states, CharField, 
num_units_in_each_state, CharField, 
num_units_in_each_state_by_production_type, CharField, 
num_animals_in_each_state, CharField, 
num_animals_in_each_state_by_production_type, CharField, 
disease_duration, CharField, 
outbreak_duration, CharField, 
clock_time, CharField, 
tsdU, CharField, 
tsdA, CharField, 

class ProductionType
name, CharField, 
description, TextField, 

class ProductionTypePairTransmission
source_production_type, ForeignKey, The Production type that will be the source type for this production type combination.
destination_production_type, ForeignKey, The Production type that will be the recipient type for this production type combination.
direct_contact_spread_model, ForeignKey, Disease spread mechanism used to model spread by direct contact between these types.
indirect_contact_spread_model, ForeignKey, Disease spread mechanism used to model spread by indirect contact between these types.
airborne_contact_spread_model, ForeignKey, Disease spread mechanism used to model spread by airborne spread between these types.

class Zone
zone_description, TextField, Description of the zone
zone_radius, FloatField, Radius in kilometers of the zone

class ZoneEffectOnProductionType
zone, ForeignKey, Zone for which this event occurred.
production_type, ForeignKey, The production type that these outputs apply to.
zone_indirect_movement_relid, ForeignKey, Function the describes indirect movement rate.
zone_direct_movement_relid, ForeignKey, Function the describes direct movement rate.
zone_detection_multiplier, FloatField, Multiplier for the probability of observice clinical signs in units of this production type in this zone.
cost_of_surveillance_per_animal_day, = MoneyField, Cost of surveillance per animal per day in this zone.

class ReadAllCodes
_code, CharField, Actual code used in the simulation
_code_type, CharField, Type of code
_code_description, TextField, Description of the code type.

class ReadAllCodeTypes
_code_type, CharField, Type of code
_code_type_description, TextField, 
